fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-03-26,WN,WN,WN,276,WN,N7832A,276,12889,LAS,"Las Vegas, NV",13891,ONT,"Ontario, CA",1445,1456,11,16,1512,1546,4,1540,1550,10,0,,0,N,55,54,34,1,197,,,,,,,,,
2018-07-14,AA,AA_CODESHARE,AA,6003,YV,N946LR,6003,14107,PHX,"Phoenix, AZ",13851,OKC,"Oklahoma City, OK",1210,1205,-5,18,1223,1612,5,1623,1617,-6,0,,0,N,133,132,109,1,833,,,,,,,,,
2018-12-10,WN,WN,WN,1055,WN,N7738A,1055,15016,STL,"St. Louis, MO",14831,SJC,"San Jose, CA",1345,1348,3,7,1355,1550,2,1610,1552,-18,0,,0,N,265,244,235,1,1715,,,,,,,,,
2019-03-23,B6,B6,B6,389,B6,N267JB,389,10721,BOS,"Boston, MA",11278,DCA,"Washington, DC",931,926,-5,15,941,1054,9,1111,1103,-8,0,,0,N,100,97,73,1,399,,,,,,,,,
2018-03-24,AA,AA,AA,868,AA,N956UW,868,12953,LGA,"New York, NY",14100,PHL,"Philadelphia, PA",650,637,-13,21,658,729,4,800,733,-27,0,,0,N,70,56,31,1,96,,,,,,,,,
2018-12-24,DL,DL,DL,2846,DL,N358DN,2846,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",900,935,35,16,951,1624,5,1620,1629,9,0,,0,N,260,234,213,1,1947,,,,,,,,,
2019-11-23,F9,F9,F9,404,F9,N939FR,404,12892,LAX,"Los Angeles, CA",11292,DEN,"Denver, CO",1042,1026,-16,32,1058,1347,9,1406,1356,-10,0,,0,N,144,150,109,1,862,,,,,,,,,
2018-06-29,AA,AA,AA,1819,AA,N965UW,1819,10693,BNA,"Nashville, TN",11057,CLT,"Charlotte, NC",956,1128,92,23,1151,1347,10,1231,1357,86,0,,0,N,95,89,56,1,328,31,0,0,0,55,,,,
2018-05-30,WN,WN,WN,5819,WN,N567WN,5819,13891,ONT,"Ontario, CA",13796,OAK,"Oakland, CA",1110,1108,-2,7,1115,1210,6,1225,1216,-9,0,,0,N,75,68,55,1,362,,,,,,,,,
2019-12-18,AA,AA,AA,1396,AA,N9022G,1396,13303,MIA,"Miami, FL",10423,AUS,"Austin, TX",2045,2040,-5,28,2108,2242,5,2257,2247,-10,0,,0,N,192,187,154,1,1103,,,,,,,,,
2019-04-25,AA,AA_CODESHARE,AA,5051,OH,N250PS,5051,11278,DCA,"Washington, DC",10257,ALB,"Albany, NY",2220,2217,-3,17,2234,2332,3,2336,2335,-1,0,,0,N,76,78,58,1,318,,,,,,,,,
2019-09-21,UA,UA,UA,444,UA,N12116,444,14771,SFO,"San Francisco, CA",10721,BOS,"Boston, MA",1610,1606,-4,14,1620,11,4,48,15,-33,0,,0,N,338,309,291,1,2704,,,,,,,,,
2018-07-31,AA,AA,AA,1422,AA,N947NN,1422,11298,DFW,"Dallas/Fort Worth, TX",10994,CHS,"Charleston, SC",2025,2037,12,12,2049,2349,5,2355,2354,-1,0,,0,N,150,137,120,1,987,,,,,,,,,
2019-06-23,G4,G4,G4,1552,G4,232NV,1552,14082,PGD,"Punta Gorda, FL",14512,RFD,"Rockford, IL",1549,1534,-15,11,1545,1707,5,1735,1712,-23,0,,0,N,166,158,142,1,1127,,,,,,,,,
2018-05-13,AA,AA_CODESHARE,AA,4942,PT,N636AE,4942,14100,PHL,"Philadelphia, PA",14730,SDF,"Louisville, KY",800,749,-11,22,811,940,5,1017,945,-32,0,,0,N,137,116,89,1,576,,,,,,,,,
2019-09-10,AA,AA,AA,2216,AA,N161AA,2216,14057,PDX,"Portland, OR",11298,DFW,"Dallas/Fort Worth, TX",645,641,-4,17,658,1220,16,1231,1236,5,0,,0,N,226,235,202,1,1616,,,,,,,,,
2019-01-18,AA,AA,AA,2626,AA,N950NN,2626,14908,SNA,"Santa Ana, CA",11298,DFW,"Dallas/Fort Worth, TX",814,814,0,18,832,1256,11,1309,1307,-2,0,,0,N,175,173,144,1,1205,,,,,,,,,
2018-07-04,UA,UA,UA,401,UA,N39423,401,11292,DEN,"Denver, CO",10821,BWI,"Baltimore, MD",1749,1800,11,45,1845,2345,4,2313,2349,36,0,,0,N,204,229,180,1,1491,11,0,25,0,0,,,,
2019-03-19,B6,B6,B6,272,B6,N634JB,272,11697,FLL,"Fort Lauderdale, FL",12953,LGA,"New York, NY",607,601,-6,19,620,840,9,859,849,-10,0,,0,N,172,168,140,1,1076,,,,,,,,,
2019-02-02,WN,WN,WN,3212,WN,N8670A,3212,13232,MDW,"Chicago, IL",14893,SMF,"Sacramento, CA",1745,1749,4,13,1802,2004,4,2030,2008,-22,0,,0,N,285,259,242,1,1790,,,,,,,,,
2018-05-19,WN,WN,WN,4354,WN,N8562Z,4354,14307,PVD,"Providence, RI",10821,BWI,"Baltimore, MD",1125,1128,3,12,1140,1238,4,1245,1242,-3,0,,0,N,80,74,58,1,327,,,,,,,,,
2018-03-01,B6,B6,B6,1633,B6,N236JB,1633,10785,BTV,"Burlington, VT",12478,JFK,"New York, NY",922,917,-5,11,928,1023,5,1043,1028,-15,0,,0,N,81,71,55,1,266,,,,,,,,,
2019-10-01,AA,AA,AA,1856,AA,N8030F,1856,11298,DFW,"Dallas/Fort Worth, TX",15919,XNA,"Fayetteville, AR",1027,1027,0,14,1041,1129,9,1140,1138,-2,0,,0,N,73,71,48,1,280,,,,,,,,,
2019-01-02,WN,WN,WN,2832,WN,N735SA,2832,10397,ATL,"Atlanta, GA",13232,MDW,"Chicago, IL",2255,2339,44,13,2352,21,4,2350,25,35,0,,0,N,115,106,89,1,591,0,0,0,0,35,,,,
2019-06-07,UA,UA_CODESHARE,UA,4939,C5,N13161,4939,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",1745,1800,15,19,1819,1909,5,1920,1914,-6,0,,0,N,95,74,50,1,282,,,,,,,,,
2019-10-07,AA,AA_CODESHARE,AA,4388,YX,N418YX,4388,11278,DCA,"Washington, DC",14321,PWM,"Portland, ME",1151,1142,-9,17,1159,1306,5,1325,1311,-14,0,,0,N,94,89,67,1,482,,,,,,,,,
2019-02-11,B6,B6,B6,477,B6,N608JB,477,12478,JFK,"New York, NY",12451,JAX,"Jacksonville, FL",1233,1227,-6,18,1245,1446,4,1512,1450,-22,0,,0,N,159,143,121,1,828,,,,,,,,,
2019-08-05,DL,DL,DL,2999,DL,N803DN,2999,10713,BOI,"Boise, ID",14869,SLC,"Salt Lake City, UT",615,612,-3,12,624,704,4,722,708,-14,0,,0,N,67,56,40,1,290,,,,,,,,,
2019-05-04,DL,DL,DL,1713,DL,N891DN,1713,13342,MKE,"Milwaukee, WI",13487,MSP,"Minneapolis, MN",1730,1721,-9,21,1742,1830,5,1854,1835,-19,0,,0,N,84,74,48,1,297,,,,,,,,,
2019-03-21,HA,HA,HA,127,HA,N490HA,127,12758,KOA,"Kona, HI",12173,HNL,"Honolulu, HI",717,714,-3,9,723,757,8,804,805,1,0,,0,N,47,51,34,1,163,,,,,,,,,
2018-06-15,DL,DL_CODESHARE,DL,5698,CP,N602CZ,5698,14747,SEA,"Seattle, WA",14831,SJC,"San Jose, CA",740,733,-7,24,757,935,6,1000,941,-19,0,,0,N,140,128,98,1,696,,,,,,,,,
2018-11-26,AA,AA,AA,177,AA,N111ZM,177,12478,JFK,"New York, NY",14771,SFO,"San Francisco, CA",1955,2005,10,34,2039,2318,12,2345,2330,-15,0,,0,N,410,385,339,1,2586,,,,,,,,,
2019-08-02,AA,AA_CODESHARE,AA,5287,OH,N703PS,5287,13795,OAJ,"Jacksonville/Camp Lejeune, NC",11057,CLT,"Charlotte, NC",1817,1812,-5,22,1834,1925,14,1935,1939,4,0,,0,N,78,87,51,1,191,,,,,,,,,
2018-08-10,WN,WN,WN,156,WN,N703SW,156,11540,ELP,"El Paso, TX",10423,AUS,"Austin, TX",1525,1543,18,9,1552,1801,5,1755,1806,11,0,,0,N,90,83,69,1,528,,,,,,,,,
2019-02-05,DL,DL,DL,1427,DL,N322NB,1427,13486,MSO,"Missoula, MT",14869,SLC,"Salt Lake City, UT",600,817,137,24,841,947,8,750,955,125,0,,0,N,110,98,66,1,436,125,0,0,0,0,,,,
2019-07-07,AA,AA,AA,816,AA,N947NN,816,13198,MCI,"Kansas City, MO",13930,ORD,"Chicago, IL",715,713,-2,13,726,825,15,855,840,-15,0,,0,N,100,87,59,1,403,,,,,,,,,
2018-08-12,UA,UA_CODESHARE,UA,6104,YV,N502MJ,6104,12264,IAD,"Washington, DC",10529,BDL,"Hartford, CT",1715,1742,27,16,1758,1849,5,1840,1854,14,0,,0,N,85,72,51,1,326,,,,,,,,,
2018-02-06,AA,AA_CODESHARE,AA,3553,MQ,N236NN,3553,11298,DFW,"Dallas/Fort Worth, TX",10279,AMA,"Amarillo, TX",1435,1507,32,22,1529,1624,7,1549,1631,42,0,,0,N,74,84,55,1,312,0,0,10,0,32,,,,
2018-03-04,WN,WN,WN,2808,WN,N8680C,2808,10821,BWI,"Baltimore, MD",12191,HOU,"Houston, TX",1320,1319,-1,12,1331,1537,4,1555,1541,-14,0,,0,N,215,202,186,1,1246,,,,,,,,,
2018-07-08,G4,G4,G4,522,G4,302NV,522,12889,LAS,"Las Vegas, NV",13256,MFE,"Mission/McAllen/Edinburg, TX",720,1059,219,14,1113,1547,6,1217,1553,216,0,,0,N,177,174,154,1,1210,216,0,0,0,0,,,,
2018-10-12,UA,UA_CODESHARE,UA,3618,YX,N743YX,3618,11618,EWR,"Newark, NJ",11986,GRR,"Grand Rapids, MI",2140,2139,-1,22,2201,2335,5,2354,2340,-14,0,,0,N,134,121,94,1,605,,,,,,,,,
2019-07-01,AA,AA_CODESHARE,AA,5040,OH,N706PS,5040,11057,CLT,"Charlotte, NC",11823,FWA,"Fort Wayne, IN",2050,2147,57,15,2202,2304,3,2229,2307,38,0,,0,N,99,80,62,1,460,0,0,0,17,21,,,,
2019-08-14,WN,WN,WN,1703,WN,N8678E,1703,14122,PIT,"Pittsburgh, PA",13204,MCO,"Orlando, FL",625,622,-3,11,633,821,7,835,828,-7,0,,0,N,130,126,108,1,834,,,,,,,,,
2018-07-15,AA,AA_CODESHARE,AA,3779,MQ,N262NN,3779,11298,DFW,"Dallas/Fort Worth, TX",13485,MSN,"Madison, WI",1430,1427,-3,15,1442,1630,4,1644,1634,-10,0,,0,N,134,127,108,1,821,,,,,,,,,
2018-08-12,AA,AA_CODESHARE,AA,5771,YV,N954LR,5771,14107,PHX,"Phoenix, AZ",10713,BOI,"Boise, ID",955,952,-3,18,1010,1250,4,1300,1254,-6,0,,0,N,125,122,100,1,735,,,,,,,,,
2019-08-01,NK,NK,NK,609,NK,N616NK,609,10721,BOS,"Boston, MA",11697,FLL,"Fort Lauderdale, FL",932,934,2,29,1003,1308,6,1257,1314,17,0,,0,N,205,220,185,1,1237,0,0,17,0,0,,,,
2019-01-02,WN,WN,WN,406,WN,N201LV,406,10821,BWI,"Baltimore, MD",11066,CMH,"Columbus, OH",2250,2315,25,14,2329,29,3,10,32,22,0,,0,N,80,77,60,1,337,22,0,0,0,0,,,,
2019-05-02,DL,DL,DL,844,DL,N959AT,844,10990,CHO,"Charlottesville, VA",10397,ATL,"Atlanta, GA",800,757,-3,14,811,922,8,940,930,-10,0,,0,N,100,93,71,1,457,,,,,,,,,
2019-07-18,DL,DL_CODESHARE,DL,3469,9E,N908XJ,3469,15919,XNA,"Fayetteville, AR",13487,MSP,"Minneapolis, MN",1706,1706,0,17,1723,1852,9,1903,1901,-2,0,,0,N,117,115,89,1,596,,,,,,,,,
2018-10-14,AA,AA,AA,1751,AA,N668AW,1751,14100,PHL,"Philadelphia, PA",14683,SAT,"San Antonio, TX",2040,2035,-5,24,2059,2323,4,2323,2327,4,0,,0,N,223,232,204,1,1496,,,,,,,,,
2018-06-26,DL,DL,DL,797,DL,N876DN,797,14869,SLC,"Salt Lake City, UT",14771,SFO,"San Francisco, CA",2215,2215,0,16,2231,2255,57,2321,2352,31,0,,0,N,126,157,84,1,599,0,0,31,0,0,,,,
2018-04-23,UA,UA,UA,1571,UA,N817UA,1571,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",2120,2115,-5,18,2133,3,11,12,14,2,0,,0,N,112,119,90,1,723,,,,,,,,,
2019-01-06,UA,UA_CODESHARE,UA,4107,EV,N14905,4107,14193,PNS,"Pensacola, FL",12266,IAH,"Houston, TX",1140,1134,-6,11,1145,1311,8,1335,1319,-16,0,,0,N,115,105,86,1,489,,,,,,,,,
2018-04-11,WN,WN,WN,1138,WN,N237WN,1138,14683,SAT,"San Antonio, TX",13204,MCO,"Orlando, FL",1030,1029,-1,9,1038,1350,11,1400,1401,1,0,,0,N,150,152,132,1,1041,,,,,,,,,
2018-04-25,AA,AA,AA,2318,AA,N948NN,2318,10693,BNA,"Nashville, TN",13303,MIA,"Miami, FL",605,559,-6,18,617,901,7,926,908,-18,0,,0,N,141,129,104,1,806,,,,,,,,,
2018-02-21,AA,AA,AA,2763,AA,N805NN,2763,13495,MSY,"New Orleans, LA",11298,DFW,"Dallas/Fort Worth, TX",1925,1944,19,17,2001,2110,10,2108,2120,12,0,,0,N,103,96,69,1,447,,,,,,,,,
2019-05-14,AA,AA_CODESHARE,AA,4868,PT,N654AE,4868,10257,ALB,"Albany, NY",14100,PHL,"Philadelphia, PA",820,813,-7,50,903,954,4,940,958,18,0,,0,N,80,105,51,1,212,0,0,18,0,0,,,,
2019-05-31,DL,DL,DL,186,DL,N323DN,186,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",1758,1758,0,17,1815,1916,8,1938,1924,-14,0,,0,N,100,86,61,1,404,,,,,,,,,
2019-12-27,WN,WN,WN,2466,WN,N8684F,2466,13232,MDW,"Chicago, IL",11697,FLL,"Fort Lauderdale, FL",1310,1327,17,7,1334,1716,10,1710,1726,16,0,,0,N,180,179,162,1,1167,16,0,0,0,0,,,,
2019-03-24,UA,UA_CODESHARE,UA,4930,C5,N14174,4930,11618,EWR,"Newark, NJ",12451,JAX,"Jacksonville, FL",1829,1930,61,77,2047,2247,4,2102,2251,109,0,,0,N,153,201,120,1,820,7,0,48,0,54,,,,
2018-01-16,DL,DL_CODESHARE,DL,5778,CP,N622CZ,5778,14747,SEA,"Seattle, WA",14908,SNA,"Santa Ana, CA",1520,1515,-5,15,1530,1747,6,1810,1753,-17,0,,0,N,170,158,137,1,978,,,,,,,,,
2019-05-19,UA,UA_CODESHARE,UA,5340,OO,N947SW,5340,12280,IDA,"Idaho Falls, ID",11292,DEN,"Denver, CO",1050,1038,-12,15,1053,1214,12,1233,1226,-7,0,,0,N,103,108,81,1,458,,,,,,,,,
2019-09-23,AA,AA,AA,1792,AA,N807AW,1792,11066,CMH,"Columbus, OH",14107,PHX,"Phoenix, AZ",1810,1935,85,12,1947,2059,3,1926,2102,96,0,,0,N,256,267,252,1,1670,0,0,11,0,85,,,,
2018-04-15,AS,AS,AS,1717,AS,N621VA,1717,11259,DAL,"Dallas, TX",14771,SFO,"San Francisco, CA",1741,1811,30,10,1821,2002,7,1934,2009,35,0,,0,N,233,238,221,1,1476,30,0,5,0,0,,,,
2018-03-19,UA,UA_CODESHARE,UA,4912,C5,N14179,4912,11618,EWR,"Newark, NJ",13296,MHT,"Manchester, NH",1500,1455,-5,32,1527,1609,5,1613,1614,1,0,,0,N,73,79,42,1,209,,,,,,,,,
2018-12-20,NK,NK,NK,1027,NK,N644NK,1027,10721,BOS,"Boston, MA",10821,BWI,"Baltimore, MD",2145,109,204,19,128,242,4,2318,246,208,0,,0,N,93,97,74,1,369,38,0,4,0,166,,,,
2018-08-21,WN,WN,WN,2309,WN,N431WN,2309,10140,ABQ,"Albuquerque, NM",14107,PHX,"Phoenix, AZ",1920,1936,16,14,1950,1944,5,1930,1949,19,0,,0,N,70,73,54,1,328,0,2,3,0,14,,,,
2019-03-02,UA,UA,UA,321,UA,N58101,321,12266,IAH,"Houston, TX",12264,IAD,"Washington, DC",1635,1633,-2,21,1654,2005,8,2023,2013,-10,0,,0,N,168,160,131,1,1190,,,,,,,,,
2019-02-22,DL,DL,DL,2218,DL,N703TW,2218,14747,SEA,"Seattle, WA",12478,JFK,"New York, NY",750,748,-2,33,821,1547,31,1602,1618,16,0,,0,N,312,330,266,1,2422,0,0,16,0,0,,,,
2019-04-10,WN,WN,WN,1699,WN,N487WN,1699,13232,MDW,"Chicago, IL",12953,LGA,"New York, NY",1450,1446,-4,17,1503,1731,5,1755,1736,-19,0,,0,N,125,110,88,1,725,,,,,,,,,
2019-06-18,UA,UA_CODESHARE,UA,3914,ZW,N464AW,3914,11996,GSP,"Greer, SC",12264,IAD,"Washington, DC",1015,1014,-1,10,1024,1129,8,1139,1137,-2,0,,0,N,84,83,65,1,384,,,,,,,,,
2019-08-29,WN,WN,WN,1686,WN,N7861J,1686,15016,STL,"St. Louis, MO",10721,BOS,"Boston, MA",700,658,-2,11,709,1022,4,1035,1026,-9,0,,0,N,155,148,133,1,1047,,,,,,,,,
2019-09-10,UA,UA,UA,223,UA,N27213,223,14771,SFO,"San Francisco, CA",11292,DEN,"Denver, CO",1050,1258,128,27,1325,1622,6,1427,1628,121,0,,0,N,157,150,117,1,967,0,0,0,0,121,,,,
2018-08-15,WN,WN,WN,1851,WN,N7840A,1851,12889,LAS,"Las Vegas, NV",10800,BUR,"Burbank, CA",925,921,-4,8,929,1011,2,1035,1013,-22,0,,0,N,70,52,42,1,223,,,,,,,,,
2019-12-25,WN,WN,WN,6059,WN,N8501V,6059,11697,FLL,"Fort Lauderdale, FL",10397,ATL,"Atlanta, GA",1120,1135,15,16,1151,1312,6,1325,1318,-7,0,,0,N,125,103,81,1,581,,,,,,,,,
